City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Cayenne,GF,77.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
17,San Patricio,US,85.17,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
20,Lucea,JM,85.86,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
25,Kapaa,US,81.19,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Curaca,BR,79.65,overcast clouds,-8.9903,-39.9094,Hotel Recanto Campestre
39,Siquirres,CR,85.41,broken clouds,10.0975,-83.5066,Hotel Pacuare
44,Buraydah,SA,87.89,clear sky,26.326,43.975,فندق راحة السلام
50,Puerto Escondido,MX,86.09,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
51,Bengkulu,ID,75.24,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
54,High Level,CA,76.57,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
58,Najran,SA,76.19,clear sky,17.4924,44.1277,محمد هادي ال فطيح
61,Acajutla,SV,84.24,scattered clouds,13.5928,-89.8275,asi es
70,Faanui,PF,78.3,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
72,Santiago De Cuba,CU,83.82,broken clouds,20.0247,-75.8219,Cubanacan San Felix
74,Puerto Cabezas,NI,82.87,broken clouds,14.0351,-83.3888,Cabaña Caribe
75,Atuona,PF,78.84,light rain,-9.8,-139.0333,Villa Enata
86,Kota Belud,MY,78.66,light rain,6.351,116.4305,Tang Dynasty Lodge Kota Belud
88,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
89,Dingle,PH,80.56,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
91,Sao Miguel Do Araguaia,BR,78.13,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
96,Meulaboh,ID,76.23,overcast clouds,4.1363,96.1285,Kost Pria
103,Hithadhoo,MV,83.68,overcast clouds,-0.6,73.0833,Scoop Guest House
106,Cairns,AU,75.07,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
110,Parambu,BR,77.59,scattered clouds,-6.2111,-40.6944,Hotel pousada santo onofre
119,Abu Dhabi,AE,87.55,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
128,Cockburn Town,TC,79.88,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
130,Saint-Georges,GD,79.52,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
134,Huaidian,CN,79.83,broken clouds,33.4333,115.0333,Xihuan Hotel
137,Avera,US,80.74,broken clouds,33.194,-82.5271,
138,Sokone,SN,75.36,broken clouds,13.8833,-16.3667,Hôtel le Caïman
141,Vaitape,PF,78.24,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
142,Sinnamary,GF,77.56,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
144,Rancho Palos Verdes,US,88.21,clear sky,33.7445,-118.387,Terranea Resort
147,Aguadilla,PR,81.68,light rain,18.4275,-67.1541,WSSM Surf House
152,Piranhas,BR,80.37,broken clouds,-16.4269,-51.8222,Planalto Hotel
