City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Butaritari,3.0707,172.7902,82.33,81,100,15.86,KI,2021-05-29 16:48:09
1,Talnakh,69.4865,88.3972,29.39,98,94,5.35,RU,2021-05-29 16:48:09
2,Busselton,-33.65,115.3333,54.09,83,86,8.05,AU,2021-05-29 16:48:09
3,Victoria,22.2855,114.1577,86.97,88,100,1.99,HK,2021-05-29 16:47:07
4,Tasiilaq,65.6145,-37.6368,39.36,96,100,13.06,GL,2021-05-29 16:48:10
5,Andenes,69.3143,16.1194,49.06,81,90,16.11,NO,2021-05-29 16:48:10
6,Douglas,41.3,-96.167,60.55,65,1,4.0,US,2021-05-29 16:45:46
7,Porto Walter,-8.2686,-72.7439,91.94,39,80,3.13,BR,2021-05-29 16:48:10
8,Severnyy,50.677,36.5532,68.04,77,75,4.47,RU,2021-05-29 16:48:11
9,Airai,-8.9266,125.4092,56.98,93,87,2.91,TL,2021-05-29 16:48:11
10,Kaoma,-14.7833,24.8,61.92,27,0,4.27,ZM,2021-05-29 16:48:11
11,Bull Savanna,17.8868,-77.5902,81.41,67,9,11.16,JM,2021-05-29 16:48:12
12,Nizhniy Odes,63.6445,54.856,44.85,74,100,2.66,RU,2021-05-29 16:48:12
13,Codrington,-38.2667,141.9667,40.62,92,2,7.0,AU,2021-05-29 16:48:12
14,Hermanus,-34.4187,19.2345,59.9,83,23,5.39,ZA,2021-05-29 16:48:12
15,Rikitea,-23.1203,-134.9692,77.0,85,72,19.01,PF,2021-05-29 16:48:13
16,Ushuaia,-54.8,-68.3,31.62,93,75,16.11,AR,2021-05-29 16:45:08
17,Deniliquin,-35.5333,144.9667,39.99,87,0,3.11,AU,2021-05-29 16:48:13
18,Tuktoyaktuk,69.4541,-133.0374,28.4,80,75,5.75,CA,2021-05-29 16:48:14
19,Bredasdorp,-34.5322,20.0403,58.28,88,8,7.05,ZA,2021-05-29 16:48:14
20,Imbituba,-28.24,-48.6703,73.29,81,75,12.5,BR,2021-05-29 16:44:42
21,Faanui,-16.4833,-151.75,79.12,70,74,3.71,PF,2021-05-29 16:48:14
22,Mikhaylovka,50.06,43.2379,70.7,59,9,5.88,RU,2021-05-29 16:48:14
23,San Borja,-14.8167,-66.85,87.67,50,95,6.44,BO,2021-05-29 16:48:15
24,Turochak,52.2576,87.1224,43.05,92,12,1.9,RU,2021-05-29 16:48:15
25,Punta Arenas,-53.15,-70.9167,37.51,48,75,20.74,CL,2021-05-29 16:48:16
26,Cape Town,-33.9258,18.4232,63.01,68,20,1.99,ZA,2021-05-29 16:48:07
27,Souillac,-20.5167,57.5167,75.58,88,75,5.61,MU,2021-05-29 16:48:16
28,Honavar,14.2833,74.45,80.2,83,23,1.34,IN,2021-05-29 16:48:16
29,Madang,-5.2246,145.7966,78.84,87,97,3.42,PG,2021-05-29 16:48:17
30,Qaanaaq,77.484,-69.3632,32.27,94,36,5.84,GL,2021-05-29 16:48:17
31,Upernavik,72.7868,-56.1549,31.51,94,92,14.76,GL,2021-05-29 16:48:17
32,Cherskiy,68.75,161.3,48.0,52,34,11.65,RU,2021-05-29 16:48:18
33,Dingle,10.9995,122.6711,78.24,90,93,2.68,PH,2021-05-29 16:48:18
34,Kaitangata,-46.2817,169.8464,49.03,94,100,12.26,NZ,2021-05-29 16:48:18
35,Coruripe,-10.1256,-36.1756,81.81,59,53,10.29,BR,2021-05-29 16:48:18
36,Half Moon Bay,37.4636,-122.4286,64.87,85,75,10.36,US,2021-05-29 16:48:19
37,Bluff,-46.6,168.3333,49.8,87,100,19.75,NZ,2021-05-29 16:48:19
38,Surt,31.2089,16.5887,74.17,75,0,12.01,LY,2021-05-29 16:48:19
39,Lorengau,-2.0226,147.2712,82.35,77,93,11.77,PG,2021-05-29 16:48:20
40,Santa Maria Da Vitoria,-13.3947,-44.1886,94.28,24,73,3.83,BR,2021-05-29 16:48:20
41,Ribeira Grande,38.5167,-28.7,66.6,77,75,0.0,PT,2021-05-29 16:48:20
42,Hithadhoo,-0.6,73.0833,83.75,71,66,16.37,MV,2021-05-29 16:48:21
43,Cockburn Town,21.4612,-71.1419,82.36,69,40,9.22,TC,2021-05-29 16:47:01
44,Qaqortoq,60.7167,-46.0333,43.3,80,100,7.54,GL,2021-05-29 16:48:21
45,Kapaa,22.0752,-159.319,70.2,79,90,5.77,US,2021-05-29 16:48:21
46,Georgetown,5.4112,100.3354,84.88,82,20,3.0,MY,2021-05-29 16:48:22
47,Hobart,-42.8794,147.3294,46.26,76,90,1.99,AU,2021-05-29 16:47:56
48,Riyadh,24.6877,46.7219,107.65,9,0,6.91,SA,2021-05-29 16:44:43
49,Beloha,-25.1667,45.05,66.16,74,17,4.27,MG,2021-05-29 16:48:22
50,Obo,5.3998,26.4869,71.11,84,94,3.18,CF,2021-05-29 16:48:23
51,Yelatma,54.9675,41.7508,61.97,93,46,6.73,RU,2021-05-29 16:48:23
