City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Cape Town,-33.9258,18.4232,60.12,85,40,5.86,ZA,2021-05-29 18:28:47
1,Qaanaaq,77.484,-69.3632,31.69,95,49,5.77,GL,2021-05-29 18:31:33
2,Ushuaia,-54.8,-68.3,29.86,93,90,9.22,AR,2021-05-29 18:31:51
3,Namibe,-15.1961,12.1522,72.61,78,0,6.13,AO,2021-05-29 18:32:00
4,Husavik,66.0449,-17.3389,58.91,58,100,11.77,IS,2021-05-29 18:32:01
5,Rikitea,-23.1203,-134.9692,77.09,84,100,19.42,PF,2021-05-29 18:32:01
6,Coquimbo,-29.9533,-71.3436,60.8,72,0,12.66,CL,2021-05-29 18:32:02
7,Katsuura,35.1333,140.3,68.14,92,99,12.15,JP,2021-05-29 18:32:02
8,Touros,-5.1989,-35.4608,85.1,71,4,16.02,BR,2021-05-29 18:32:02
9,Mataura,-46.1927,168.8643,49.48,95,100,4.99,NZ,2021-05-29 18:30:45
10,Carnarvon,-24.8667,113.6333,60.8,94,34,6.91,AU,2021-05-29 18:32:03
11,Busselton,-33.65,115.3333,54.09,93,91,11.03,AU,2021-05-29 18:30:24
12,Vestmannaeyjar,63.4427,-20.2734,47.39,87,75,20.71,IS,2021-05-29 18:32:03
13,Port Hardy,50.6996,-127.4199,50.18,81,40,5.75,CA,2021-05-29 18:32:04
14,San Andres,12.5847,-81.7006,81.54,79,20,12.68,CO,2021-05-29 18:30:05
15,Storebo,60.0948,5.2271,54.5,81,2,1.99,NO,2021-05-29 18:32:04
16,Butaritari,3.0707,172.7902,82.69,78,100,15.79,KI,2021-05-29 18:30:52
17,Mecca,21.4267,39.8261,89.91,33,25,6.8,SA,2021-05-29 18:30:39
18,Broken Hill,-31.95,141.4333,38.91,70,48,5.75,AU,2021-05-29 18:32:04
19,Leh,34.1667,77.5833,52.61,26,99,4.74,IN,2021-05-29 18:32:05
20,Bambous Virieux,-20.3428,57.7575,75.45,94,40,5.19,MU,2021-05-29 18:30:47
21,Charyshskoye,51.3978,83.5598,44.67,81,6,4.47,RU,2021-05-29 18:32:05
22,New Norfolk,-42.7826,147.0587,44.92,76,32,3.4,AU,2021-05-29 18:32:06
23,Hilo,19.7297,-155.09,78.62,75,20,0.0,US,2021-05-29 18:32:06
24,Yellowknife,62.456,-114.3525,52.32,46,40,3.0,CA,2021-05-29 18:32:06
