City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,75.11,70,97,12.41,overcast clouds
1,Butaritari,KI,3.0707,172.7902,82.94,77,94,14.34,overcast clouds
2,Atuona,PF,-9.8,-139.0333,79.61,64,6,8.9,clear sky
3,Clyde River,CA,70.4692,-68.5914,30.43,86,75,3.44,broken clouds
4,Hermanus,ZA,-34.4187,19.2345,54.9,76,98,6.26,overcast clouds
5,Puerto Ayora,EC,-0.7393,-90.3518,76.55,84,18,10.0,few clouds
6,Mar Del Plata,AR,-38.0023,-57.5575,52.12,55,0,1.99,clear sky
7,Castro,BR,-24.7911,-50.0119,56.23,99,100,2.51,overcast clouds
8,Laguna,US,38.421,-121.4238,98.44,30,1,1.01,clear sky
9,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,83,75,4.61,broken clouds
10,Longyearbyen,SJ,78.2186,15.6401,33.64,80,90,4.61,overcast clouds
11,Bluff,NZ,-46.6,168.3333,49.8,91,100,22.37,light rain
12,Mataura,NZ,-46.1927,168.8643,49.48,98,100,2.84,overcast clouds
13,Tasiilaq,GL,65.6145,-37.6368,39.36,92,100,8.25,overcast clouds
14,Cherskiy,RU,68.75,161.3,60.19,30,0,6.44,clear sky
15,Daru,PG,-9.0763,143.2092,79.45,76,79,14.2,broken clouds
16,Te Anau,NZ,-45.4167,167.7167,47.34,95,100,5.53,overcast clouds
17,Rio Grande,BR,-32.035,-52.0986,48.31,57,0,8.68,clear sky
18,Guider,CM,9.9342,13.9486,92.37,32,93,5.03,overcast clouds
19,Nikolskoye,RU,59.7035,30.7861,42.69,65,2,0.65,clear sky
20,Marzuq,YE,14.4,46.4667,78.62,43,0,3.94,clear sky
21,Hithadhoo,MV,-0.6,73.0833,83.34,73,14,18.72,few clouds
22,Ginir,ET,7.1333,40.7,56.88,72,62,4.29,broken clouds
23,General Higinio Morinigo,PY,-25.95,-55.9167,54.64,41,1,4.0,clear sky
24,Baker City,US,44.7749,-117.8344,79.93,17,1,8.05,clear sky
25,Aklavik,CA,68.2191,-135.0107,50.83,51,98,13.67,overcast clouds
26,Tecoanapa,MX,16.5167,-98.75,88.59,61,64,11.86,broken clouds
27,Kahului,US,20.8947,-156.47,84.97,66,20,12.66,few clouds
28,Ponta Do Sol,PT,32.6667,-17.1,65.12,55,20,7.0,few clouds
29,Srivardhan,IN,18.0333,73.0167,82.49,79,100,2.84,overcast clouds
30,Haldibari,IN,26.3333,88.7667,76.57,92,16,4.25,few clouds
31,Tilichiki,RU,60.4667,166.1,41.29,76,100,1.21,overcast clouds
32,Albany,US,42.6001,-73.9662,49.17,92,100,6.44,moderate rain
33,Bethel,US,41.3712,-73.414,50.36,91,100,1.99,moderate rain
34,Zhezkazgan,KZ,47.8043,67.7144,70.74,52,89,7.2,overcast clouds
35,Broome,US,42.2506,-75.833,50.81,95,90,1.01,light rain
36,North Bend,US,43.4065,-124.2243,81.95,70,1,17.27,clear sky
37,Mahebourg,MU,-20.4081,57.7,72.25,88,40,4.61,scattered clouds
38,Tazmalt,DZ,36.3868,4.3989,70.39,59,45,2.39,scattered clouds
39,Carnarvon,AU,-24.8667,113.6333,55.47,94,50,4.61,scattered clouds
40,Matay,EG,28.419,30.7792,88.61,14,0,4.74,clear sky
41,Kushmurun,KZ,52.4503,64.6311,65.73,79,90,10.09,overcast clouds
42,Poum,NC,-20.2333,164.0167,72.54,63,69,18.14,broken clouds
43,Kruisfontein,ZA,-34.0033,24.7314,55.89,75,100,5.59,overcast clouds
44,Korbach,DE,51.2756,8.873,52.81,94,19,2.8,few clouds
45,Punta Arenas,CL,-53.15,-70.9167,33.91,69,75,7.74,broken clouds
46,Nachalovo,RU,46.338,48.2013,66.13,77,0,9.46,clear sky
47,Mikhaylovka,RU,50.06,43.2379,61.5,95,89,9.86,overcast clouds
48,Plouzane,FR,48.3833,-4.6167,60.89,75,0,10.8,clear sky
49,Jamestown,US,42.097,-79.2353,61.92,51,90,9.22,overcast clouds
50,Somerville,US,42.3876,-71.0995,49.98,94,90,1.01,moderate rain
51,Provideniya,RU,64.3833,-173.3,50.11,57,0,20.13,clear sky
52,Mirnyy,RU,62.5353,113.9611,50.18,73,90,4.16,overcast clouds
53,Shimoda,JP,34.6667,138.95,72.1,67,0,12.86,clear sky
54,Chokurdakh,RU,70.6333,147.9167,61.43,31,16,12.33,few clouds
55,Ucar,AZ,40.519,47.6542,75.16,42,1,7.7,clear sky
56,Nandigama,IN,16.7833,80.3,89.76,50,94,6.96,overcast clouds
57,Thompson,CA,55.7435,-97.8558,57.36,47,75,6.91,broken clouds
58,Saint-Philippe,RE,-21.3585,55.7679,71.22,81,30,5.17,light rain
59,San Jose,US,37.3394,-121.895,94.51,37,20,8.05,few clouds
60,Peniche,PT,39.3558,-9.3811,67.48,89,9,7.52,clear sky
61,Hilo,US,19.7297,-155.09,82.8,75,20,16.11,few clouds
62,Port Macquarie,AU,-31.4333,152.9167,55.38,75,83,8.77,broken clouds
63,Severo-Kurilsk,RU,50.6789,156.125,38.88,97,100,20.42,light rain
64,Kaliua,TZ,-5.0606,31.7936,70.54,58,91,2.8,overcast clouds
65,Avarua,CK,-21.2078,-159.775,78.85,57,90,6.91,overcast clouds
66,Esperance,AU,-33.8667,121.9,55.24,88,87,25.68,moderate rain
67,Along,IN,28.1667,94.7667,69.96,91,86,1.52,overcast clouds
68,Yeppoon,AU,-23.1333,150.7333,60.58,76,4,10.74,clear sky
69,Yaan,NG,7.3833,8.5667,79.52,78,54,7.99,broken clouds
70,Narsaq,GL,60.9167,-46.05,50.22,61,2,0.49,clear sky
71,Vaini,TO,-21.2,-175.2,73.56,94,90,4.61,light rain
72,Kropotkin,RU,45.4375,40.5756,58.55,93,2,8.7,clear sky
73,Corralillo,CU,22.9819,-80.5856,77.79,78,87,17.27,light rain
74,Ostrovnoy,RU,68.0531,39.5131,41.77,83,100,11.39,overcast clouds
75,Husavik,IS,66.0449,-17.3389,55.31,60,87,16.55,overcast clouds
76,La Mata,PA,8.0833,-80.8833,81.25,72,59,3.87,broken clouds
77,Vestmannaeyjar,IS,63.4427,-20.2734,45.63,78,57,12.57,broken clouds
78,Pevek,RU,69.7008,170.3133,38.59,69,7,1.63,clear sky
79,Polevskoy,RU,56.4422,60.1878,55.6,98,100,8.5,overcast clouds
80,Ushuaia,AR,-54.8,-68.3,29.86,93,75,5.75,light snow
81,Mikhaylov,RU,54.2292,39.0186,47.95,73,100,12.62,light rain
82,Katangli,RU,51.7102,143.2326,39.13,72,100,10.38,overcast clouds
83,Beloha,MG,-25.1667,45.05,65.26,82,27,5.14,scattered clouds
84,Tiksi,RU,71.6872,128.8694,34.09,90,67,8.25,broken clouds
85,East London,ZA,-33.0153,27.9116,56.82,64,81,8.23,broken clouds
86,Upernavik,GL,72.7868,-56.1549,31.84,93,100,5.23,overcast clouds
87,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,56.14,48,1,5.3,clear sky
88,Luderitz,NA,-26.6481,15.1594,58.78,66,1,17.81,clear sky
89,Khatanga,RU,71.9667,102.5,38.25,95,93,4.14,overcast clouds
90,Cape Town,ZA,-33.9258,18.4232,55.11,92,0,3.51,clear sky
91,Kapaa,US,22.0752,-159.319,85.48,70,20,3.0,few clouds
92,Lebu,CL,-37.6167,-73.65,55.98,87,100,8.93,overcast clouds
93,Acaponeta,MX,22.4964,-105.3594,95.97,34,7,12.39,clear sky
94,Busselton,AU,-33.65,115.3333,53.1,67,99,14.34,overcast clouds
95,Akdepe,TM,42.0551,59.3788,82.49,16,9,8.39,clear sky
96,Lagoa,PT,39.05,-27.9833,63.36,82,69,9.78,broken clouds
97,Faanui,PF,-16.4833,-151.75,80.1,73,99,16.04,overcast clouds
98,Tahta,EG,26.7693,31.5021,88.12,14,73,7.16,broken clouds
99,Talnakh,RU,69.4865,88.3972,36.95,97,100,19.91,moderate rain
100,Andenes,NO,69.3143,16.1194,46.08,93,90,23.02,overcast clouds
101,Lazaro Cardenas,MX,17.9583,-102.2,87.39,59,70,10.31,broken clouds
102,Victoria,HK,22.2855,114.1577,86.38,89,100,1.01,overcast clouds
103,Alugan,PH,12.2188,125.4808,79.29,85,89,2.89,overcast clouds
104,Sayula,MX,19.8667,-103.6167,79.72,16,79,7.23,broken clouds
105,Banda Aceh,ID,5.5577,95.3222,80.01,73,81,13.71,broken clouds
106,Qaanaaq,GL,77.484,-69.3632,32.07,93,100,3.27,overcast clouds
107,Flinders,AU,-34.5833,150.8552,50.2,85,0,1.01,clear sky
108,Dingle,PH,10.9995,122.6711,78.84,88,80,1.25,broken clouds
109,Mae Sai,TH,20.4335,99.8762,76.44,97,100,0.72,light rain
110,Georgetown,MY,5.4112,100.3354,81.9,87,20,3.0,few clouds
111,Hohhot,CN,40.8106,111.6522,68.29,37,20,5.61,light rain
112,Airai,TL,-8.9266,125.4092,57.54,86,100,1.5,overcast clouds
113,Lorengau,PG,-2.0226,147.2712,80.67,84,100,8.72,overcast clouds
114,Porto Novo,BJ,6.4965,2.6036,84.02,79,90,9.15,overcast clouds
115,Manadhoo,MV,5.7667,73.3833,83.53,71,45,20.69,scattered clouds
116,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,49,20,11.5,few clouds
117,Sechura,PE,-5.5569,-80.8222,75.63,64,13,17.67,few clouds
118,Severodvinsk,RU,64.5635,39.8302,39.31,70,66,6.33,broken clouds
119,Vao,NC,-22.6667,167.4833,69.19,61,96,12.66,overcast clouds
120,Saquarema,BR,-22.92,-42.5103,75.34,93,100,8.84,light rain
121,Harper,LR,4.375,-7.7169,78.53,88,100,9.55,moderate rain
122,Souillac,MU,-20.5167,57.5167,72.36,88,40,7.09,scattered clouds
123,Micomeseng,GQ,2.1462,10.6164,71.55,99,100,3.38,overcast clouds
124,Hasaki,JP,35.7333,140.8333,64.29,69,40,12.08,scattered clouds
125,Half Moon Bay,US,37.4636,-122.4286,94.57,60,1,12.28,clear sky
126,Pembroke,CA,45.8168,-77.1162,71.67,27,8,5.82,clear sky
127,Chuy,UY,-33.6971,-53.4616,46.13,69,5,6.87,clear sky
128,Huangmei,CN,30.1924,116.025,72.57,87,74,1.83,broken clouds
129,Sur,OM,22.5667,59.5289,90.81,43,82,14.85,broken clouds
130,Pinawa,CA,50.1489,-95.8811,64.99,43,40,12.08,scattered clouds
131,Isangel,VU,-19.55,169.2667,78.91,69,75,7.43,broken clouds
132,Corrente,BR,-3.7367,-43.3394,78.31,79,79,1.7,broken clouds
133,Waipawa,NZ,-41.4122,175.5153,48.83,85,100,7.45,light rain
134,Susangerd,IR,31.5608,48.1831,96.82,10,1,11.97,clear sky
135,Bacolod,PH,10.6667,122.95,79.59,83,81,5.08,broken clouds
136,Sola,VU,-13.8833,167.55,77.54,83,98,12.44,light rain
137,Sambava,MG,-14.2667,50.1667,72.48,89,29,6.8,scattered clouds
138,Blajeni,RO,46.2333,22.9,45.36,89,43,2.24,scattered clouds
139,Tura,IN,25.5198,90.2201,73.47,95,83,4.0,moderate rain
140,Port Alfred,ZA,-33.5906,26.891,57.4,67,97,11.16,overcast clouds
141,Baykit,RU,61.67,96.37,35.98,88,47,0.78,scattered clouds
142,Artyom,AZ,40.4723,50.333,69.94,85,0,30.0,clear sky
143,Vostochnyy,RU,55.8167,37.8667,51.12,63,100,9.48,overcast clouds
144,Osecina,RS,44.3731,19.6014,52.41,91,62,4.29,broken clouds
145,Sangar,RU,63.9242,127.4739,49.6,62,0,2.66,clear sky
